donnees-liste-prenoms-nancy-2016-2018	13 mai 2021	https://www.data.gouv.fr/fr/datasets/la-liste-annuelle-des-prenoms-des-nouveaux-nes-ville-de-nancy/ (donnees du gouvernements francais)	[liste des prenoms donnees au nouveaux nes a nancy entre 2016 et 2018]	[originel]

donnes-liste-noms	13 mai 2021	https://raw.githubusercontent.com/fivethirtyeight/data/master/most-common-name/surnames.csv	(donnees provenant d'un utilisateur anonym)	[repartitions des noms par communautes au etats unis]	[originel]

bano-04	13 mai 2021	http://bano.openstreetmap.fr/data/	(donnees generer par un site)	[ liste d'addresse francaise ]	[orginel]

BasicCompanyData-2021-05-01-part6_6	14 mai 2021	https://data.gov.uk/dataset/4462e41a-7413-4359-97f5-420b6ca5f9c0/basic-company-data (donnees du gouvernement britanniques)	[liste des entreprises en grandes bretagne]	[originel raccourcci]

openaddress-be	14 mai 2021	https://opendata.bosa.be/index.fr.html (donnees ouvertes belges)	[liste des adresses en belgique]	[originel cummule et raccourci]
